,Decibel,Island,Lat,Lon,Model,Name,POINT_X,POINT_Y,Range_ft,Siren,Solar,OBJECTID,GlobalID
0,115,Maui,20.9093022256,-156.49079485,MOD3012,Waiehu,1700438.73765741,209224.61112774,2200 Feet,MA101,YES,2,20b4796e-d66b-4793-b372-d0661817b5b4
1,115,Maui,20.9150767416,-156.494044814,MOD3012,Waiehu Beach Road,1699307.67003766,211300.62305182,2200 Feet,MA102,YES,3,fc1083fd-4963-4563-b077-5cc18d6ce72d
2,115,Maui,20.9033899599,-156.481863021,EOWS1212,Nisei Veterans Memorial Center,1702995.13083858,206625.49985616,2200 Feet,MA103,NO,4,b1ec6138-8260-4f06-9c23-d67eccf88b59
3,121,Maui,20.8917408766,-156.462599687,MOD6024,Kahului Sewer Baseyard,1710068.33782075,202860.63435441,3400 Feet,MA104,YES,6,9fc0ae8c-77ef-418c-9300-c1f6d2b52bab
4,124,Maui,20.8909047063,-156.445406464,EOWS612,NASKA Airport Road,1715945.240437,202567.62969107,4800 Feet,MA105,NO,7,59c88e14-0a38-4889-aa30-6ce38e5c1ae4
5,121,Maui,20.9109681898,-156.403227636,DSA6/4,Spreckelsville,1730324.31863416,209882.19937949,3400 Feet,MA106,YES,8,fb637472-f831-44d4-99b1-9e9ee93ce271
6,115,Maui,20.9171984304,-156.380014767,STH10,Makana Park,1740057.78768425,212199.90996715,2200 Feet,MA107,NO,9,d2848359-baa3-46d0-a464-5fcef13a87ae
7,118,Maui,20.7931947809,-156.510112756,MOD4016,Maalaea,1693908.851439,167057.70005491,2800 Feet,MA109,YES,11,248dd43a-65c8-42ea-bdcd-8b686df5e1a0
8,115,Maui,20.779912932,-156.4603649,2T22,Old Kihei School,1710619.61821425,162554.20414066,3400 Feet,MA110,NO,12,f83e1b04-7727-4b68-b17c-3d7677d9ed91
9,115,Maui,20.7474483935,-156.457040114,2T22,St. Theresa's Church,1712720.93323733,150008.01958741,2200 Feet,MA111,NO,13,5d905713-f234-48b0-876a-56af3a24702a
10,115,Maui,20.7317383993,-156.452227221,2T22,Kalama Beach Park,1713682.93820308,144754.66624899,2200 Feet,MA112,NO,14,4e197e4c-fbcd-41f9-ad4c-c82c4e6c05c2
11,115,Maui,20.7195320021,-156.446722896,2T22,Kamaole Beach Park,1715339.94637199,140967.08392916,2200 Feet,MA113,NO,15,b72c0e96-b491-4952-b14b-53c2bb5b1651
12,115,Maui,20.7002293298,-156.444102627,2T22,Kilohana Park,1718927.5317165,134975.07786857,2200 Feet,MA114,NO,16,5d93bcd3-70b5-4691-8baa-762932277180
13,115,Maui,20.8869784504,-156.499445741,MOD3012,Wells Park,1697497.64708291,201119.04105283,2200 Feet,MA115,YES,17,8779a534-b66b-4742-9c7a-f63eb921a596
14,124,Maui,20.8794379188,-156.472112017,EOWS612,Kahului Elementary School,1706833.40039299,198393.47530974,4800 Feet,MA116,NO,18,c3fba2b7-3489-48de-94a6-bc671f33eec9
